time,ax,ay,az,atotal
0.010447978973388672,0.02,-0.01,-0.04,0.04
0.01877880096435547,0.04,0.0,-0.05,0.06
0.03130698204040527,0.04,0.01,-0.04,0.05
0.05179190635681152,0.05,0.01,-0.04,0.06
0.052182912826538086,0.05,0.0,-0.05,0.07
0.05843496322631836,0.04,0.0,-0.06,0.07
0.06821680068969727,0.03,0.0,-0.06,0.06
0.0788109302520752,0.02,0.0,-0.07,0.07
0.08826208114624023,0.02,0.0,-0.05,0.05
0.09824490547180176,-0.01,0.0,-0.06,0.06
0.10915708541870117,0.0,-0.01,-0.05,0.05
0.11893296241760254,-0.03,-0.02,-0.06,0.06
0.15578794479370117,-0.04,-0.02,-0.05,0.06
0.1562199592590332,-0.05,-0.02,-0.06,0.08
0.1565408706665039,-0.06,-0.02,-0.06,0.08
0.15793180465698242,-0.05,-0.03,-0.07,0.09
0.1677718162536621,-0.04,-0.03,-0.05,0.07
0.1777210235595703,-0.04,-0.02,-0.06,0.07
0.1876668930053711,-0.02,-0.02,-0.07,0.07
0.19832277297973633,-0.01,-0.02,-0.05,0.05
0.20780181884765625,0.01,-0.01,-0.05,0.05
0.21901512145996094,0.02,-0.01,-0.05,0.05
0.23222589492797852,0.04,0.0,-0.04,0.05
0.2576608657836914,0.06,0.01,-0.05,0.07
0.25829601287841797,0.06,0.0,-0.06,0.08
0.25864291191101074,0.05,0.0,-0.06,0.07
0.2676877975463867,0.04,0.0,-0.06,0.07
0.2772989273071289,0.03,-0.01,-0.06,0.06
0.28720808029174805,0.02,0.0,-0.07,0.07
0.2979269027709961,0.01,-0.01,-0.06,0.06
0.3077540397644043,-0.01,-0.01,-0.05,0.05
0.31775593757629395,-0.01,-0.01,-0.05,0.05
0.33269405364990234,-0.02,-0.01,-0.07,0.07
0.3583860397338867,-0.04,-0.01,-0.06,0.07
0.3587629795074463,-0.05,-0.02,-0.06,0.08
0.35910892486572266,-0.05,-0.02,-0.05,0.07
0.36704111099243164,-0.06,-0.02,-0.06,0.08
0.376680850982666,-0.05,-0.02,-0.06,0.08
0.3864729404449463,-0.03,-0.02,-0.06,0.06
0.39658403396606445,-0.01,-0.02,-0.05,0.05
0.40708303451538086,0.0,-0.01,-0.05,0.05
0.4165058135986328,0.02,-0.01,-0.04,0.04
0.43126678466796875,0.04,0.0,-0.04,0.05
0.46051788330078125,0.04,0.01,-0.05,0.06
0.46092891693115234,0.06,0.0,-0.06,0.08
0.46127796173095703,0.04,0.0,-0.06,0.07
0.4658808708190918,0.04,0.0,-0.06,0.07
0.4759488105773926,0.04,0.0,-0.06,0.07
0.4859449863433838,0.03,0.0,-0.05,0.05
0.4965348243713379,0.03,0.0,-0.06,0.06
0.5063259601593018,0.02,0.0,-0.06,0.06
0.5158219337463379,0.01,0.0,-0.06,0.06
0.530487060546875,-0.01,-0.01,-0.06,0.06
0.5595450401306152,-0.04,-0.02,-0.07,0.08
0.5598640441894531,-0.05,-0.02,-0.07,0.08
0.560187816619873,-0.05,-0.03,-0.07,0.09
0.5652828216552734,-0.05,-0.03,-0.06,0.08
0.5753388404846191,-0.05,-0.03,-0.06,0.08
0.5853769779205322,-0.04,-0.02,-0.05,0.06
0.5953168869018555,-0.01,-0.02,-0.04,0.04
0.6058039665222168,0.01,-0.02,-0.04,0.04
0.6153159141540527,0.01,0.0,-0.05,0.05
0.628464937210083,0.02,0.0,-0.05,0.05
0.6613078117370605,0.02,0.01,-0.05,0.05
